Company,Review_Date,Cocoa_Percent,Company_Location,Rating,Bean_Type,Country,High_Cocoa
Altus Aka Cao Artisan,2013,60.0,U.S.A.,3.25,Unknown,Peru,0
Amano,2011,70.0,U.S.A.,4.0,Unknown,Papua New Guinea,0
Amano,2010,70.0,U.S.A.,3.75,Unknown,Dominican Republic,0
Amano,2010,70.0,U.S.A.,4.0,Unknown,Ecuador,0
Amano,2010,70.0,U.S.A.,3.0,Trinitario,Venezuela,0
Amano,2009,70.0,U.S.A.,3.0,Unknown,Venezuela,0
Amano,2008,70.0,U.S.A.,2.75,Unknown,Indonesia,0
Amano,2007,70.0,U.S.A.,3.5,Trinitario,Madagascar,0
Amano,2007,70.0,U.S.A.,3.0,Unknown,Venezuela,0
Amano,2007,70.0,U.S.A.,3.75,Criollo,Venezuela,0
Amatller (Simon Coll),2009,70.0,Spain,3.0,Forastero,Ghana,0
Amatller (Simon Coll),2009,70.0,Spain,2.75,Unknown,Ecuador,0
Amatller (Simon Coll),2009,85.0,Spain,2.75,Unknown,Ecuador,1
Amatller (Simon Coll),2009,85.0,Spain,3.0,Forastero,Ghana,1
Amazona,2013,72.0,Peru,3.25,Unknown,Peru,1
Amazona,2013,73.0,Peru,3.5,Trinitario,Peru,1
Ambrosia,2015,64.0,Canada,3.0,Trinitario,Belize,0
Ambrosia,2015,66.0,Canada,3.25,Trinitario,Madagascar,0
Ambrosia,2015,75.0,Canada,3.25,Unknown,Dominican Republic,1
Ambrosia,2015,63.0,Canada,3.25,Unknown,Papua New Guinea,0
Ambrosia,2015,70.0,Canada,3.25,Unknown,Venezuela,0
Ambrosia,2015,68.0,Canada,3.5,Unknown,Peru,0
Amedei,2012,70.0,Italy,3.75,Unknown,Peru,0
Amedei,2007,70.0,Italy,4.0,Criollo (Porcelana),Venezuela,0
Amedei,2007,75.0,Italy,4.0,Blend,Unknown,1
Amedei,2007,70.0,Italy,5.0,Trinitario,Venezuela,0
Amedei,2007,70.0,Italy,3.0,Trinitario,Ecuador,0
Amedei,2007,70.0,Italy,3.0,Trinitario,Jamaica,0
Amedei,2007,70.0,Italy,3.5,Trinitario,Grenada,0
Amedei,2007,70.0,Italy,3.75,Trinitario (85% Criollo),Venezuela,0
Amedei,2007,70.0,Italy,4.0,Trinitario (85% Criollo),Madagascar,0
Amedei,2007,70.0,Italy,3.5,Trinitario,Trinidad,0
Amedei,2007,63.0,Italy,3.5,Blend,Unknown,0
Amedei,2006,70.0,Italy,5.0,Blend,Unknown,0
Amedei,2006,66.0,Italy,4.0,Blend,Unknown,0
Amma,2013,75.0,Brazil,3.25,Forastero (Catongo),Brazil,1
Amma,2010,85.0,Brazil,2.75,Forastero (Parazinho),Brazil,1
Amma,2010,50.0,Brazil,3.75,Forastero (Parazinho),Brazil,0
Amma,2010,75.0,Brazil,3.75,Forastero (Parazinho),Brazil,1
Amma,2010,60.0,Brazil,4.0,Forastero (Parazinho),Brazil,0
Anahata,2014,75.0,U.S.A.,3.0,Unknown,Dominican Republic,1
Animas,2016,75.0,U.S.A.,3.5,Unknown,Bolivia,1
Ara,2014,75.0,France,3.0,Trinitario,Madagascar,1
Ara,2014,72.0,France,2.5,Unknown,Mexico,1
Ara,2014,75.0,France,2.75,Unknown,Ecuador,1
Ara,2014,75.0,France,3.0,Unknown,Venezuela,1
Arete,2016,70.0,U.S.A.,3.5,Trinitario,Trinidad,0
Arete,2016,70.0,U.S.A.,3.75,Unknown,Tanzania,0
Arete,2016,73.0,U.S.A.,3.5,Trinitario,Vietnam,1
Arete,2016,70.0,U.S.A.,3.25,Unknown,Ecuador,0
Arete,2016,70.0,U.S.A.,3.25,Unknown,Ecuador,0
Arete,2016,70.0,U.S.A.,3.5,Unknown,Guatemala,0
Arete,2016,70.0,U.S.A.,3.75,Unknown,Nicaragua,0
Arete,2016,70.0,U.S.A.,3.5,Unknown,Honduras,0
Arete,2016,70.0,U.S.A.,4.0,Unknown,Costa Rica,0
Arete,2016,70.0,U.S.A.,4.0,Forastero (Nacional),Peru,0
Arete,2016,70.0,U.S.A.,3.75,Unknown,Dominican Republic,0
Arete,2016,70.0,U.S.A.,3.25,Unknown,Fiji,0
Arete,2016,73.0,U.S.A.,3.25,Unknown,Vietnam,1
Arete,2015,70.0,U.S.A.,3.5,Unknown,Brazil,0
Arete,2015,68.0,U.S.A.,3.5,Forastero (Nacional),Peru,0
Arete,2015,70.0,U.S.A.,3.75,Forastero (Nacional),Ecuador,0
Arete,2015,70.0,U.S.A.,3.5,Unknown,Domincan Republic,0
Arete,2015,70.0,U.S.A.,3.75,Trinitario,Belize,0
Arete,2015,70.0,U.S.A.,4.0,"Criollo, Trinitario",Nicaragua,0
Arete,2015,75.0,U.S.A.,2.75,Unknown,Brazil,1
Arete,2015,70.0,U.S.A.,3.25,Unknown,Guatemala,0
Arete,2015,75.0,U.S.A.,3.5,Unknown,Ecuador,1
Artisan Du Chocolat,2013,72.0,U.K.,3.25,Trinitario,Trinidad,1
Artisan Du Chocolat,2012,72.0,U.K.,3.75,Unknown,Colombia,1
Artisan Du Chocolat,2011,72.0,U.K.,4.0,Unknown,Haiti,1
Artisan Du Chocolat,2011,72.0,U.K.,2.75,Unknown,Panama,1
Artisan Du Chocolat,2010,100.0,U.K.,1.75,Unknown,Venezuela,1
Artisan Du Chocolat,2010,72.0,U.K.,3.75,Trinitario,Jamaica,1
Artisan Du Chocolat,2010,72.0,U.K.,3.25,Unknown,Costa Rica,1
Artisan Du Chocolat,2010,72.0,U.K.,3.25,Trinitario,Vietnam,1
Artisan Du Chocolat,2010,72.0,U.K.,3.5,Unknown,Indonesia,1
Artisan Du Chocolat,2009,75.0,U.K.,2.5,"Criollo, Trinitario",Venezuela,1
Artisan Du Chocolat,2009,72.0,U.K.,2.75,Trinitario,Indonesia,1
Artisan Du Chocolat,2009,72.0,U.K.,1.75,Unknown,Brazil,1
Artisan Du Chocolat,2009,80.0,U.K.,3.0,"Criollo, Trinitario",Madagascar,1
Artisan Du Chocolat,2009,75.0,U.K.,3.0,Criollo,Peru,1
Artisan Du Chocolat,2009,72.0,U.K.,3.25,Trinitario,Dominican Republic,1
Artisan Du Chocolat,2008,72.0,U.K.,3.75,Forastero,Congo,1
Artisan Du Chocolat (Casa Luker),2013,72.0,U.K.,2.75,Trinitario,Colombia,1
Askinosie,2016,68.0,U.S.A.,3.75,Trinitario,Tanzania,0
Askinosie,2011,72.0,U.S.A.,3.75,Trinitario,Tanzania,1
Askinosie,2011,70.0,U.S.A.,3.75,Trinitario,Honduras,0
Askinosie,2009,77.0,U.S.A.,3.75,Trinitario,Philippines,1
Askinosie,2007,75.0,U.S.A.,2.5,Trinitario,Mexico,1
Askinosie,2007,70.0,U.S.A.,3.0,Forastero (Arriba),Ecuador,0
Bahen & Co.,2015,80.0,Australia,3.25,Unknown,Unknown,1
Bahen & Co.,2015,70.0,Australia,3.5,Unknown,Papua New Guinea,0
Bahen & Co.,2012,70.0,Australia,3.0,Trinitario,Madagascar,0
Bahen & Co.,2012,70.0,Australia,2.5,Unknown,Brazil,0
Bahen & Co.,2012,70.0,Australia,2.5,Blend,Unknown,0
Bakau,2015,70.0,Peru,2.75,Unknown,Peru,0
Bakau,2015,70.0,Peru,3.5,Unknown,Peru,0
Bar Au Chocolat,2015,70.0,U.S.A.,3.5,Unknown,Brazil,0
Bar Au Chocolat,2014,70.0,U.S.A.,4.0,Forastero (Nacional),Peru,0
Bar Au Chocolat,2012,70.0,U.S.A.,3.25,Unknown,Dominican Republic,0
Bar Au Chocolat,2012,70.0,U.S.A.,3.5,Unknown,Mexico,0
Bar Au Chocolat,2012,70.0,U.S.A.,3.75,Trinitario,Madagascar,0
Baravelli'S,2012,80.0,Wales,2.75,Unknown,Costa Rica,1
Batch,2016,65.0,U.S.A.,3.5,Unknown,Domincan Republic,0
Batch,2016,70.0,U.S.A.,3.75,Unknown,Brazil,0
Batch,2016,65.0,U.S.A.,3.25,Unknown,Ecuador,0
Beau Cacao,2017,73.0,U.K.,3.0,Unknown,Malaysia,1
Beau Cacao,2017,72.0,U.K.,3.25,Unknown,Malaysia,1
Beehive,2016,80.0,U.S.A.,2.75,Unknown,Brazil,1
Beehive,2016,70.0,U.S.A.,2.75,Unknown,Domincan Republic,0
Beehive,2016,70.0,U.S.A.,2.75,Unknown,Ecuador,0
Beehive,2016,90.0,U.S.A.,2.75,Unknown,Ecuador,1
Belcolade,2010,64.0,Belgium,2.75,Unknown,Costa Rica,0
Belcolade,2010,64.0,Belgium,2.75,Unknown,Papua New Guinea,0
Belcolade,2010,64.0,Belgium,2.75,Unknown,Peru,0
Belcolade,2010,71.0,Belgium,3.5,Unknown,Ecuador,1
Bellflower,2016,70.0,U.S.A.,3.5,"Criollo, Trinitario",Tanzania,0
Bellflower,2016,70.0,U.S.A.,3.25,Unknown,Bolivia,0
Bellflower,2016,70.0,U.S.A.,3.5,Unknown,Domincan Republic,0
Belyzium,2016,83.0,Germany,2.75,Trinitario,Belize,1
Belyzium,2016,78.0,Germany,3.0,Trinitario,Belize,1
Belyzium,2016,83.0,Germany,3.5,Trinitario,Belize,1
Benoit Nihant,2013,74.0,Belgium,3.5,Trinitario,Cuba,1
Benoit Nihant,2013,74.0,Belgium,3.5,Criollo,Venezuela,1
Benoit Nihant,2013,74.0,Belgium,3.5,Criollo,Venezuela,1
Benoit Nihant,2013,73.0,Belgium,4.0,Trinitario,Ecuador,1
Benoit Nihant,2011,72.0,Belgium,4.0,Trinitario,Indonesia,1
Benoit Nihant,2011,72.0,Belgium,3.75,Trinitario,Madagascar,1
Bernachon,2012,55.0,France,2.75,Unknown,Unknown,0
Beschle (Felchlin),2011,64.0,Switzerland,3.0,Trinitario,Madagascar,0
Beschle (Felchlin),2011,88.0,Switzerland,3.0,Criollo,Venezuela,1
Beschle (Felchlin),2011,72.0,Switzerland,3.5,Unknown,Venezuela,1
Beschle (Felchlin),2011,72.0,Switzerland,4.0,Unknown,Ecuador,1
Beschle (Felchlin),2010,70.0,Switzerland,3.25,Trinitario,Venezuela,0
Beschle (Felchlin),2010,74.0,Switzerland,3.25,Criollo (Porcelana),Venezuela,1
Beschle (Felchlin),2010,64.0,Switzerland,3.5,Unknown,Indonesia,0
Beschle (Felchlin),2010,72.0,Switzerland,3.5,Unknown,Venezuela,1
Bisou,2015,76.0,U.S.A.,2.5,Unknown,Nicaragua,1
Bisou,2015,76.0,U.S.A.,2.5,Unknown,Costa Rica,1
Bisou,2015,78.0,U.S.A.,2.5,Unknown,Costa Rica,1
Bisou,2015,86.0,U.S.A.,3.25,Trinitario,Belize,1
Bittersweet Origins,2012,72.0,U.S.A.,3.5,Forastero,Ghana,1
Bittersweet Origins,2010,75.0,U.S.A.,3.25,Unknown,Indonesia,1
Bittersweet Origins,2010,70.0,U.S.A.,3.75,Blend,"Dominican Rep., Bali",0
Bittersweet Origins,2010,65.0,U.S.A.,2.75,Unknown,Indonesia,0
Bittersweet Origins,2010,70.0,U.S.A.,3.0,Trinitario,Madagascar,0
Bittersweet Origins,2010,78.0,U.S.A.,3.0,Criollo,Venezuela,1
Bittersweet Origins,2009,75.0,U.S.A.,3.0,Unknown,Dominican Republic,1
Bittersweet Origins,2009,65.0,U.S.A.,3.5,Unknown,Dominican Republic,0
Bittersweet Origins,2009,75.0,U.S.A.,3.25,Trinitario,Madagascar,1
Bittersweet Origins,2009,65.0,U.S.A.,3.5,Trinitario,Madagascar,0
Bittersweet Origins,2008,71.0,U.S.A.,3.0,Trinitario,Madagascar,1
Bittersweet Origins,2008,75.0,U.S.A.,3.5,Unknown,Panama,1
Bittersweet Origins,2008,68.0,U.S.A.,3.75,Unknown,Dominican Republic,0
Bittersweet Origins,2008,70.0,U.S.A.,3.0,Forastero,Ghana,0
Black Mountain,2008,70.0,U.S.A.,2.75,Unknown,Dominican Republic,0
Black Mountain,2008,70.0,U.S.A.,2.75,Trinitario,Venezuela,0
Black Mountain,2008,70.0,U.S.A.,3.0,Unknown,Nicaragua,0
Black River (A. Morin),2014,70.0,U.K.,2.75,Trinitario,Jamaica,0
Blanxart,2013,82.0,Spain,3.5,Forastero,Congo,1
Blanxart,2009,72.0,Spain,2.75,Unknown,Unknown,1
Blue Bandana,2016,82.0,U.S.A.,3.5,Trinitario,Madagascar,1
Blue Bandana,2016,75.0,U.S.A.,2.75,Unknown,Guatemala,1
Blue Bandana,2016,75.0,U.S.A.,3.5,Unknown,Tanzania,1
Blue Bandana,2016,75.0,U.S.A.,3.0,Unknown,Dominican Republic,1
Blue Bandana,2012,70.0,U.S.A.,3.5,Unknown,Guatemala,0
Blue Bandana,2012,70.0,U.S.A.,3.75,Trinitario,Madagascar,0
Bonnat,2016,75.0,France,3.5,Unknown,Mexico,1
Bonnat,2014,75.0,France,4.0,Unknown,Brazil,1
Bonnat,2014,75.0,France,3.25,Unknown,Dominican Republic,1
Bonnat,2014,65.0,France,3.75,Unknown,"Venez,Africa,Brasil,Peru,Mex",0
Bonnat,2013,75.0,France,3.5,Unknown,Brazil,1
Bonnat,2013,75.0,France,3.25,Unknown,Gabon,1
Bonnat,2011,75.0,France,3.5,Trinitario,Cuba,1
Bonnat,2011,75.0,France,3.5,Unknown,Peru,1
Bonnat,2011,75.0,France,3.5,Forastero (Nacional),Peru,1
Bonnat,2011,75.0,France,3.75,Unknown,Brazil,1
Bonnat,2011,75.0,France,4.0,Unknown,Haiti,1
Bonnat,2011,75.0,France,4.0,Criollo,Madagascar,1
Bonnat,2011,75.0,France,3.5,Unknown,Brazil,1
Bonnat,2011,75.0,France,3.25,Trinitario,Jamaica,1
Bonnat,2009,75.0,France,3.0,Unknown,Ivory Coast,1
Bonnat,2009,75.0,France,2.75,Criollo,Peru,1
Bonnat,2009,75.0,France,3.0,Criollo,Mexico,1
Bonnat,2009,75.0,France,3.0,Criollo,Mexico,1
Bonnat,2008,75.0,France,4.0,Criollo (Porcelana),Venezuela,1
Bonnat,2007,75.0,France,2.5,Forastero (Arriba),Ecuador,1
Bonnat,2006,75.0,France,3.75,Trinitario,Carribean,1
Bonnat,2006,75.0,France,4.0,Unknown,Venezuela,1
Bonnat,2006,75.0,France,4.0,Criollo,Venezuela,1
Bonnat,2006,75.0,France,4.0,Trinitario,Madagascar,1
Bonnat,2006,100.0,France,1.5,Unknown,Unknown,1
Bonnat,2006,75.0,France,3.0,Unknown,Sri Lanka,1
Bonnat,2006,75.0,France,4.0,Trinitario,Venezuela,1
Bouga Cacao (Tulicorp),2009,77.0,Ecuador,3.25,Forastero (Arriba),Ecuador,1
Bouga Cacao (Tulicorp),2009,100.0,Ecuador,1.5,Forastero (Arriba),Ecuador,1
Bowler Man,2014,70.0,U.S.A.,2.75,Trinitario,Belize,0
Bowler Man,2014,70.0,U.S.A.,2.75,Unknown,Dominican Republic,0
Brasstown Aka It'S Chocolate,2016,70.0,U.S.A.,3.5,Criollo,Venezuela,0
Brasstown Aka It'S Chocolate,2016,70.0,U.S.A.,3.75,Unknown,Nicaragua,0
Brasstown Aka It'S Chocolate,2015,68.0,U.S.A.,3.75,Unknown,Dominican Republic,0
Brasstown Aka It'S Chocolate,2014,70.0,U.S.A.,3.75,Trinitario,Belize,0
Brasstown Aka It'S Chocolate,2014,70.0,U.S.A.,4.0,Trinitario,Venezuela,0
Brasstown Aka It'S Chocolate,2013,72.0,U.S.A.,3.0,Trinitario,Dominican Republic,1
Brasstown Aka It'S Chocolate,2013,70.0,U.S.A.,3.25,Unknown,Ecuador,0
Brasstown Aka It'S Chocolate,2013,75.0,U.S.A.,3.5,Forastero,Ghana,1
Brasstown Aka It'S Chocolate,2013,85.0,U.S.A.,3.5,Trinitario,Venezuela,1
Brazen,2015,60.0,U.S.A.,3.0,Unknown,Dominican Republic,0
Brazen,2015,80.0,U.S.A.,3.25,Unknown,Dominican Republic,1
Brazen,2015,70.0,U.S.A.,3.5,Unknown,Guatemala,0
Brazen,2015,80.0,U.S.A.,2.75,Unknown,Madagascar,1
Brazen,2015,80.0,U.S.A.,3.25,Trinitario,Belize,1
Brazen,2015,60.0,U.S.A.,3.25,Unknown,Madagascar,0
Breeze Mill,2013,70.0,U.S.A.,3.0,Trinitario,Jamaica,0
Bright,2014,72.0,Australia,3.0,Trinitario,Madagascar,1
Bright,2014,70.0,Australia,3.5,Unknown,Dominican Republic,0
Bright,2014,72.0,Australia,3.5,Unknown,Ecuador,1
Bright,2014,68.0,Australia,2.75,Trinitario,Trinidad,0
Britarev,2015,70.0,Russia,3.25,Unknown,Ecuador,0
Bronx Grrl Chocolate,2013,68.0,U.S.A.,2.75,Unknown,Dominican Republic,0
Burnt Fork Bend,2014,72.0,U.S.A.,3.25,Trinitario,Trinidad,1
Burnt Fork Bend,2014,72.0,U.S.A.,3.5,Unknown,Ecuador,1
Burnt Fork Bend,2014,72.0,U.S.A.,3.25,Trinitario,Belize,1
Burnt Fork Bend,2014,72.0,U.S.A.,3.25,Blend,Unknown,1
Burnt Fork Bend,2014,60.0,U.S.A.,2.5,Unknown,Ecuador,0
Cacao Arabuco,2015,70.0,Puerto Rico,2.5,Unknown,Puerto Rico,0
Cacao Atlanta,2014,75.0,U.S.A.,2.5,Criollo,Peru,1
Cacao Atlanta,2010,75.0,U.S.A.,2.5,Unknown,Dominican Republic,1
Cacao Atlanta,2010,75.0,U.S.A.,2.75,Unknown,Dominican Republic,1
Cacao Atlanta,2010,75.0,U.S.A.,2.25,Unknown,Venezuela,1
Cacao Barry,2016,65.0,France,3.5,"Trinitario, Criollo",Haiti,0
Cacao Barry,2010,70.0,France,3.0,Unknown,Dominican Republic,0
Cacao Barry,2008,75.0,France,2.0,Unknown,Tanzania,1
Cacao Barry,2007,72.0,France,2.0,Unknown,Venezuela,1
Cacao Barry,2007,66.0,France,3.0,Unknown,Mexico,0
Cacao De Origen,2015,77.0,Venezuela,3.5,Trinitario,Venezuela,1
Cacao De Origen,2015,75.0,Venezuela,3.25,Trinitario,Venezuela,1
Cacao De Origen,2014,75.0,Venezuela,2.5,Unknown,Venezuela,1
Cacao De Origen,2014,74.0,Venezuela,3.25,Unknown,Venezuela,1
Cacao De Origen,2014,75.0,Venezuela,3.5,Trinitario,Venezuela,1
Cacao De Origen,2014,70.0,Venezuela,3.75,Trinitario,Venezuela,0
Cacao De Origin,2015,74.0,Venezuela,3.25,Unknown,Venezuela,1
Cacao Hunters,2016,71.0,Colombia,3.75,Unknown,Colombia,1
Cacao Hunters,2016,74.0,Colombia,3.75,Unknown,Colombia,1
Cacao Hunters,2015,72.0,Colombia,3.75,Unknown,Colombia,1
Cacao Hunters,2014,64.0,Colombia,3.5,Unknown,Colombia,0
Cacao Hunters,2014,70.0,Colombia,3.5,Unknown,Colombia,0
Cacao Hunters,2014,69.0,Colombia,2.75,Unknown,Colombia,0
Cacao Hunters,2014,70.0,Colombia,3.25,Unknown,Colombia,0
Cacao Market,2016,70.0,U.S.A.,3.5,Trinitario,Honduras,0
Cacao Prieto,2012,72.0,U.S.A.,3.75,Criollo,Dominican Republic,1
Cacao Prieto,2011,72.0,U.S.A.,3.0,Unknown,Dominican Republic,1
Cacao Prieto,2011,66.0,U.S.A.,3.75,Unknown,Dominican Republic,0
Cacao Prieto,2011,65.0,U.S.A.,3.25,Unknown,Dominican Republic,0
Cacao Sampaka,2016,70.0,Spain,3.5,Criollo,Congo,0
Cacao Sampaka,2010,71.0,Spain,3.5,Trinitario,Madagascar,1
Cacao Sampaka,2010,71.0,Spain,3.75,Unknown,Ecuador,1
Cacao Sampaka,2010,71.0,Spain,4.0,Unknown,Papua New Guinea,1
Cacao Sampaka,2010,71.0,Spain,3.25,Trinitario,Grenada,1
Cacao Sampaka,2010,71.0,Spain,3.5,Unknown,Venezuela,1
Cacao Sampaka,2010,77.0,Spain,3.5,Unknown,Venezuela,1
Cacao Sampaka,2009,70.0,Spain,4.0,Criollo,Mexico,0
Cacao Sampaka,2009,70.0,Spain,4.0,Criollo,Mexico,0
Cacao Store,2015,70.0,Japan,3.0,Trinitario,Madagascar,0
Cacao Store,2015,70.0,Japan,3.25,Unknown,Peru,0
Cacao Store,2015,70.0,Japan,3.5,Trinitario,Vietnam,0
Cacaosuyo (Theobroma Inversiones),2013,70.0,Peru,3.25,Unknown,Peru,0
Cacaoyere (Ecuatoriana),2008,63.0,Ecuador,3.5,Forastero (Arriba),Ecuador,0
Cacaoyere (Ecuatoriana),2008,71.0,Ecuador,3.5,Forastero (Arriba),Ecuador,1
Cacaoyere (Ecuatoriana),2008,82.0,Ecuador,2.5,Forastero (Arriba),Ecuador,1
Cacaoyere (Ecuatoriana),2008,91.0,Ecuador,1.5,Forastero (Arriba),Ecuador,1
Callebaut,2008,60.0,Belgium,2.75,Trinitario,Grenada,0
Callebaut,2007,70.0,Belgium,1.0,Unknown,Ecuador,0
C-Amaro,2014,75.0,Italy,2.5,Unknown,Cuba,1
C-Amaro,2014,72.0,Italy,3.0,Unknown,Dominican Republic,1
C-Amaro,2014,70.0,Italy,3.5,Blend,Unknown,0
C-Amaro,2013,100.0,Italy,3.5,Unknown,Ecuador,1
C-Amaro,2012,80.0,Italy,3.0,Unknown,Venezuela,1
C-Amaro,2011,78.0,Italy,2.25,Forastero,Sao Tome,1
C-Amaro,2011,70.0,Italy,2.5,Trinitario,Trinidad,0
Cao,2016,75.0,U.S.A.,2.5,Criollo,Venezuela,1
Cao,2016,73.0,U.S.A.,2.75,Unknown,Tanzania,1
Cao,2016,70.0,U.S.A.,3.0,Criollo,Venezuela,0
Cao,2016,75.0,U.S.A.,3.0,Unknown,Bolivia,1
Cao,2016,70.0,U.S.A.,3.25,Trinitario,Brazil,0
Caoni (Tulicorp),2008,77.0,Ecuador,2.0,Forastero (Arriba),Ecuador,1
Caoni (Tulicorp),2008,77.0,Ecuador,2.5,Forastero (Arriba),Ecuador,1
Caoni (Tulicorp),2008,77.0,Ecuador,2.75,Forastero (Arriba),Ecuador,1
Caoni (Tulicorp),2008,55.0,Ecuador,3.0,Forastero (Arriba),Ecuador,0
Caoni (Tulicorp),2008,55.0,Ecuador,3.25,Forastero (Arriba),Ecuador,0
Caoni (Tulicorp),2008,55.0,Ecuador,3.5,Forastero (Arriba),Ecuador,0
Captain Pembleton,2014,70.0,New Zealand,3.5,Trinitario,Papua New Guinea,0
Captain Pembleton,2014,70.0,New Zealand,3.75,Unknown,Papua New Guinea,0
Caribeans,2015,72.0,Costa Rica,3.5,Unknown,Guatemala,1
Caribeans,2015,72.0,Costa Rica,3.25,Unknown,Costa Rica,1
Caribeans,2015,72.0,Costa Rica,3.5,Unknown,Costa Rica,1
Caribeans,2012,72.0,Costa Rica,3.0,Forastero,Costa Rica,1
Caribeans,2012,80.0,Costa Rica,2.75,Forastero,Costa Rica,1
Carlotta Chocolat,2016,65.0,Colombia,3.0,Trinitario,Colombia,0
Carlotta Chocolat,2016,65.0,Colombia,3.25,Trinitario,Colombia,0
Carlotta Chocolat,2016,65.0,Colombia,3.25,Trinitario,Colombia,0
Carlotta Chocolat,2016,65.0,Colombia,3.5,Trinitario,Colombia,0
Carlotta Chocolat,2016,65.0,Colombia,3.5,Ccn51,Colombia,0
Castronovo,2016,72.0,U.S.A.,4.0,Trinitario,Belize,1
Castronovo,2015,72.0,U.S.A.,3.5,Trinitario,Honduras,1
Castronovo,2015,70.0,U.S.A.,3.75,"Criollo, Trinitario",Domincan Republic,0
Castronovo,2015,72.0,U.S.A.,3.5,Unknown,Venezuela,1
Castronovo,2014,72.0,U.S.A.,3.5,"Criollo, Trinitario",Colombia,1
Castronovo,2014,76.0,U.S.A.,3.5,"Criollo, Trinitario",Colombia,1
Castronovo,2014,70.0,U.S.A.,2.75,Trinitario,Dominican Republic,0
Castronovo,2013,70.0,U.S.A.,3.0,Trinitario,Bolivia,0
Castronovo,2013,73.0,U.S.A.,3.5,Trinitario,Dominican Republic,1
Castronovo,2013,70.0,U.S.A.,2.5,Criollo,Peru,0
